graph_name,vertices,edges,max_clique_size,runtime_ms
DSJC1000.1,1000,99258,6,524
DSJC1000.5,1000,499652,TIMEOUT,>30000
DSJC1000.9,1000,898898,TIMEOUT,>30000
DSJC125.1,125,1472,4,0
DSJC125.5,125,7782,10,84
DSJC125.9,125,13922,TIMEOUT,>30000
DSJC250.1,250,6436,4,3
DSJC250.5,250,31336,12,5836
DSJC250.9,250,55794,TIMEOUT,>30000
DSJC500.1,500,24916,5,31
DSJC500.5,500,125248,TIMEOUT,>30000
DSJC500.9,500,224874,TIMEOUT,>30000
DSJR500.1,500,7110,12,4
DSJR500.1c,500,242550,TIMEOUT,>30000
DSJR500.5,500,117724,122,11533
anna,138,986,11,0
david,87,812,11,0
flat1000_50_0,1000,245000,TIMEOUT,>30000
flat1000_60_0,1000,245830,TIMEOUT,>30000
flat1000_76_0,1000,246708,TIMEOUT,>30000
flat300_20_0,300,21375,11,9797
flat300_26_0,300,21633,11,11413
flat300_28_0,300,21695,12,11369
fpsol2.i.1,496,11654,65,76
fpsol2.i.2,451,8691,30,43
fpsol2.i.3,425,8688,30,43
games120,120,1276,9,0
homer,561,3258,13,2
huck,74,602,11,0
inithx.i.1,864,18707,54,133
inithx.i.2,645,13979,31,90
inithx.i.3,621,13969,31,91
jean,80,508,10,0
latin_square_10,900,307350,TIMEOUT,>30000
le450_15a,450,8168,15,19
le450_15b,450,8169,15,17
le450_15c,450,16680,15,148
le450_15d,450,16750,15,152
le450_25a,450,8260,25,23
le450_25b,450,8263,25,21
le450_25c,450,17343,25,224
le450_25d,450,17425,25,233
le450_5a,450,5714,5,7
le450_5b,450,5734,5,7
le450_5c,450,9803,5,19
le450_5d,450,9757,5,19
miles1000,128,6432,42,8
miles1500,128,10396,73,18
miles250,128,774,8,0
miles500,128,2340,20,1
miles750,128,4226,31,3
mulsol.i.1,197,3925,49,6
mulsol.i.2,188,3885,31,6
mulsol.i.3,184,3916,31,7
mulsol.i.4,185,3946,31,6
mulsol.i.5,186,3973,31,7
myciel3,11,20,2,0
myciel4,23,71,2,0
myciel5,47,236,2,0
myciel6,95,755,2,0
myciel7,191,2360,2,2
queen10_10,100,2940,10,2
queen11_11,121,3960,11,3
queen12_12,144,5192,12,6
queen13_13,169,6656,13,9
queen14_14,196,8372,14,13
queen15_15,225,10360,15,18
queen16_16,256,12640,16,25
queen5_5,25,320,5,0
queen6_6,36,580,6,0
queen7_7,49,952,7,0
queen8_12,96,2736,12,2
queen8_8,64,1456,8,0
queen9_9,81,2112,9,1
school1,385,19095,TIMEOUT,>30000
school1_nsh,352,14612,14,26915
zeroin.i.1,211,4100,49,5
zeroin.i.2,211,3541,30,4
zeroin.i.3,206,3540,30,5
