graph_name,vertices,edges,max_clique_size,runtime_ms
barabasi_albert_111_3,111,530,4,0
barabasi_albert_1193_7,1193,5940,5,9
barabasi_albert_1262_5,1262,6285,5,11
barabasi_albert_1284_4,1284,6395,5,11
barabasi_albert_1776_10,1776,8855,5,22
barabasi_albert_324_9,324,1595,6,1
barabasi_albert_382_2,382,1885,5,1
barabasi_albert_769_6,769,3820,5,4
barabasi_albert_783_8,783,3890,5,4
barabasi_albert_933_1,933,4640,5,6
bipartite_278_2,278,2295,2,1
bipartite_704_1,704,30226,2,164
bipartite_77_5,77,363,2,0
bipartite_80_4,80,222,2,0
bipartite_963_3,963,50450,2,350
complete_10_1,10,45,10,0
complete_28_3,28,378,28,0
complete_33_2,33,528,33,0
complete_35_4,35,595,35,0
complete_47_5,47,1081,47,0
erdos_renyi_1283_9,1283,76751,5,836
erdos_renyi_1356_5,1356,110455,6,2518
erdos_renyi_1754_2,1754,286515,TIMEOUT,>30000
erdos_renyi_1800_10,1800,110682,5,1204
erdos_renyi_1808_3,1808,170826,6,4873
erdos_renyi_437_8,437,8504,5,13
erdos_renyi_632_6,632,25733,6,167
erdos_renyi_701_7,701,34130,6,296
erdos_renyi_743_4,743,52439,7,1391
erdos_renyi_747_1,747,53227,7,1451
grid_1225_5,1225,2380,2,4
grid_2070_3,2070,4049,2,12
grid_360_1,360,682,2,0
grid_676_2,676,1300,2,1
grid_841_4,841,1624,2,2
planar_161_5,161,295,3,0
planar_261_2,261,430,3,0
planar_309_4,309,492,3,0
planar_329_1,329,515,3,0
planar_420_3,420,652,3,0
tree_238_1,238,237,2,0
tree_275_4,275,274,2,0
tree_505_2,505,504,2,0
tree_862_3,862,861,2,1
tree_958_5,958,957,2,2
watts_strogatz_155_1,155,1085,6,0
watts_strogatz_229_2,229,2519,9,2
watts_strogatz_363_7,363,6534,11,15
watts_strogatz_427_5,427,8967,12,30
watts_strogatz_527_3,527,13702,13,85
watts_strogatz_551_6,551,14877,14,126
watts_strogatz_689_9,689,23426,25,1130
watts_strogatz_711_4,711,24885,12,326
watts_strogatz_987_8,987,48363,TIMEOUT,>30000
watts_strogatz_989_10,989,48461,16,3895
