algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms,status
exact_solver,DSJC125.1,125,736,5,,10.802,ok
exact_solver,DSJR500.1,500,3555,12,,815.670,ok
exact_solver,anna,138,493,11,,0.170,ok
exact_solver,david,87,406,11,,0.110,ok
exact_solver,fpsol2.i.2,451,8691,30,,47.995,ok
exact_solver,fpsol2.i.3,425,8688,30,,47.150,ok
exact_solver,jean,80,254,10,,842.501,ok
exact_solver,le450_25a,450,8260,25,,3.039,ok
exact_solver,le450_25b,450,8263,25,,3.664,ok
exact_solver,miles1500,128,5198,73,,13800.531,ok
exact_solver,miles250,128,387,8,,0.125,ok
exact_solver,miles500,128,1170,20,,0.299,ok
exact_solver,miles750,128,2113,31,,3.410,ok
exact_solver,mulsol.i.2,188,3885,31,,0.779,ok
exact_solver,mulsol.i.3,184,3916,31,,0.848,ok
exact_solver,mulsol.i.4,185,3946,31,,0.798,ok
exact_solver,mulsol.i.5,186,3973,31,,0.796,ok
exact_solver,myciel3,11,20,4,,0.025,ok
exact_solver,myciel4,23,71,5,,0.265,ok
exact_solver,myciel5,47,236,6,,261.906,ok
exact_solver,queen5_5,25,160,5,,0.050,ok
exact_solver,queen6_6,36,290,7,,3.199,ok
exact_solver,queen7_7,49,476,7,,22.307,ok
exact_solver,queen8_8,64,728,9,,9215.965,ok
exact_solver,school1,385,19095,14,,29.756,ok
exact_solver,zeroin.i.1,211,4100,49,,1.136,ok
exact_solver,zeroin.i.2,211,3541,30,,2430.470,ok
exact_solver,zeroin.i.3,206,3540,30,,2423.467,ok
exact_solver,DSJC1000.1,1000,99258,,,,timeout>120.0s
exact_solver,DSJC1000.5,1000,499652,,,,timeout>120.0s
exact_solver,DSJC1000.9,1000,898898,,,,timeout>120.0s
exact_solver,DSJC125.5,125,7782,,,,timeout>120.0s
exact_solver,DSJC125.9,125,13922,,,,timeout>120.0s
exact_solver,DSJC250.1,250,6436,,,,timeout>120.0s
exact_solver,DSJC250.5,250,31336,,,,timeout>120.0s
exact_solver,DSJC250.9,250,55794,,,,timeout>120.0s
exact_solver,DSJC500.1,500,24916,,,,timeout>120.0s
exact_solver,DSJC500.5,500,125248,,,,timeout>120.0s
exact_solver,DSJC500.9,500,224874,,,,timeout>120.0s
exact_solver,DSJR500.1c,500,242550,,,,timeout>120.0s
exact_solver,DSJR500.5,500,117724,,,,timeout>120.0s
exact_solver,flat1000_50_0,1000,245000,,,,timeout>120.0s
exact_solver,flat1000_60_0,1000,245830,,,,timeout>120.0s
exact_solver,flat1000_76_0,1000,246708,,,,timeout>120.0s
exact_solver,flat300_20_0,300,21375,,,,timeout>120.0s
exact_solver,flat300_26_0,300,21633,,,,timeout>120.0s
exact_solver,flat300_28_0,300,21695,,,,timeout>120.0s
exact_solver,fpsol2.i.1,496,11654,,,,timeout>120.0s
exact_solver,games120,120,1276,,,,timeout>120.0s
exact_solver,homer,561,3258,,,,timeout>120.0s
exact_solver,huck,74,602,,,,timeout>120.0s
exact_solver,inithx.i.1,864,18707,,,,timeout>120.0s
exact_solver,inithx.i.2,645,13979,,,,timeout>120.0s
exact_solver,inithx.i.3,621,13969,,,,timeout>120.0s
exact_solver,latin_square_10,900,307350,,,,timeout>120.0s
exact_solver,le450_15a,450,8168,,,,timeout>120.0s
exact_solver,le450_15b,450,8169,,,,timeout>120.0s
exact_solver,le450_15c,450,16680,,,,timeout>120.0s
exact_solver,le450_15d,450,16750,,,,timeout>120.0s
