algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms,status
exact_solver,barabasi_albert_111_3,111,530,5,,0.231,ok
exact_solver,barabasi_albert_1193_7,1193,5940,6,,1.475,ok
exact_solver,barabasi_albert_1262_5,1262,6285,5,,9.289,ok
exact_solver,barabasi_albert_1284_4,1284,6395,5,,9.723,ok
exact_solver,barabasi_albert_1776_10,1776,8855,5,,17.541,ok
exact_solver,barabasi_albert_324_9,324,1595,6,,0.378,ok
exact_solver,barabasi_albert_382_2,382,1885,5,,0.431,ok
exact_solver,barabasi_albert_769_6,769,3820,5,,4.670,ok
exact_solver,barabasi_albert_783_8,783,3890,5,,4.241,ok
exact_solver,barabasi_albert_933_1,933,4640,5,,5.634,ok
exact_solver,bipartite_278_2,278,2295,2,,0.363,ok
exact_solver,bipartite_704_1,704,30226,2,,3.816,ok
exact_solver,bipartite_77_5,77,363,2,,0.077,ok
exact_solver,bipartite_80_4,80,222,2,,0.063,ok
exact_solver,bipartite_963_3,963,50450,2,,7.045,ok
exact_solver,complete_10_1,10,45,10,,0.027,ok
exact_solver,complete_28_3,28,378,28,,0.068,ok
exact_solver,complete_33_2,33,528,33,,0.089,ok
exact_solver,complete_35_4,35,595,35,,0.098,ok
exact_solver,complete_47_5,47,1081,47,,0.168,ok
exact_solver,grid_1225_5,1225,2380,2,,0.502,ok
exact_solver,grid_2070_3,2070,4049,2,,0.846,ok
exact_solver,grid_360_1,360,682,2,,0.167,ok
exact_solver,grid_676_2,676,1300,2,,0.294,ok
exact_solver,grid_841_4,841,1624,2,,0.342,ok
exact_solver,planar_161_5,161,295,3,,10.208,ok
exact_solver,planar_261_2,261,430,3,,0.413,ok
exact_solver,planar_309_4,309,492,3,,0.554,ok
exact_solver,planar_329_1,329,515,3,,0.564,ok
exact_solver,planar_420_3,420,652,3,,1.002,ok
exact_solver,small_grid_5x8,40,0,1,,0.006,ok
exact_solver,tree_238_1,238,237,2,,0.100,ok
exact_solver,tree_275_4,275,274,2,,0.114,ok
exact_solver,tree_505_2,505,504,2,,0.303,ok
exact_solver,tree_862_3,862,861,2,,0.333,ok
exact_solver,tree_958_5,958,957,2,,0.368,ok
exact_solver,watts_strogatz_155_1,155,1085,6,,2268.878,ok
exact_solver,erdos_renyi_1283_9,1283,76751,,,,timeout>120.0s
exact_solver,erdos_renyi_1356_5,1356,110455,,,,timeout>120.0s
exact_solver,erdos_renyi_1754_2,1754,286515,,,,timeout>120.0s
exact_solver,erdos_renyi_1800_10,1800,110682,,,,timeout>120.0s
exact_solver,erdos_renyi_1808_3,1808,170826,,,,timeout>120.0s
exact_solver,erdos_renyi_437_8,437,8504,,,,timeout>120.0s
exact_solver,erdos_renyi_632_6,632,25733,,,,timeout>120.0s
exact_solver,erdos_renyi_701_7,701,34130,,,,timeout>120.0s
exact_solver,erdos_renyi_743_4,743,52439,,,,timeout>120.0s
exact_solver,erdos_renyi_747_1,747,53227,,,,timeout>120.0s
exact_solver,watts_strogatz_229_2,229,2519,,,,timeout>120.0s
exact_solver,watts_strogatz_363_7,363,6534,,,,timeout>120.0s
exact_solver,watts_strogatz_427_5,427,8967,,,,timeout>120.0s
exact_solver,watts_strogatz_527_3,527,13702,,,,timeout>120.0s
exact_solver,watts_strogatz_551_6,551,14877,,,,timeout>120.0s
exact_solver,watts_strogatz_689_9,689,23426,,,,timeout>120.0s
exact_solver,watts_strogatz_711_4,711,24885,,,,timeout>120.0s
exact_solver,watts_strogatz_987_8,987,48363,,,,timeout>120.0s
exact_solver,watts_strogatz_989_10,989,48461,,,,timeout>120.0s
