algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms
genetic,anna,138,493,11,,301.541
genetic,david,87,406,11,,211.260
genetic,DSJC1000.1,1000,49629,31,,10238.554
genetic,DSJC1000.5,1000,249826,127,,77949.365
genetic,DSJC1000.9,1000,449449,320,,170119.690
genetic,DSJC125.1,125,736,6,,139.657
genetic,DSJC125.5,125,3891,20,,430.365
genetic,DSJC125.9,125,6961,51,,587.428
genetic,DSJC250.1,250,3218,10,,429.438
genetic,DSJC250.5,250,15668,39,,1662.247
genetic,DSJC250.9,250,27897,83,,6659.064
genetic,DSJC500.1,500,12458,18,,1232.577
genetic,DSJC500.5,500,62624,71,,13583.740
genetic,DSJC500.9,500,112437,176,,24135.687
genetic,DSJR500.1c,500,121275,105,,27976.294
genetic,DSJR500.1,500,3555,12,,551.113
genetic,DSJR500.5,500,58862,127,,11722.480
genetic,flat1000_50_0,1000,245000,126,,77583.681
genetic,flat1000_60_0,1000,245830,126,,73739.184
genetic,flat1000_76_0,1000,246708,126,,83477.775
genetic,flat300_20_0,300,21375,44,,2831.346
genetic,flat300_26_0,300,21633,44,,2595.627
genetic,flat300_28_0,300,21695,43,,2854.312
genetic,fpsol2.i.1,496,11654,65,,1378.686
genetic,fpsol2.i.2,451,8691,30,,1342.200
genetic,fpsol2.i.3,425,8688,30,,1293.053
genetic,games120,120,638,9,,118.398
genetic,homer,561,1628,13,,558.666
genetic,huck,74,301,11,,71.206
genetic,inithx.i.1,864,18707,54,,3212.759
genetic,inithx.i.2,645,13979,31,,2517.203
genetic,inithx.i.3,621,13969,31,,2497.183
genetic,jean,80,254,10,,71.944
genetic,latin_square_10,900,307350,158,,49596.374
genetic,le450_15a,450,8168,17,,1093.265
genetic,le450_15b,450,8169,17,,1138.184
genetic,le450_15c,450,16680,26,,1738.872
genetic,le450_15d,450,16750,26,,1840.688
genetic,le450_25a,450,8260,25,,1070.549
genetic,le450_25b,450,8263,25,,1029.279
genetic,le450_25c,450,17343,30,,1845.810
genetic,le450_25d,450,17425,29,,2301.540
genetic,le450_5a,450,5714,10,,1275.732
genetic,le450_5b,450,5734,9,,889.195
genetic,le450_5c,450,9803,7,,1492.385
genetic,le450_5d,450,9757,10,,1242.927
genetic,miles1000,128,3216,42,,306.673
genetic,miles1500,128,5198,73,,434.783
genetic,miles250,128,387,8,,111.795
genetic,miles500,128,1170,20,,171.457
genetic,miles750,128,2113,31,,229.782
genetic,mulsol.i.1,197,3925,49,,408.157
genetic,mulsol.i.2,188,3885,31,,433.992
genetic,mulsol.i.3,184,3916,31,,431.326
genetic,mulsol.i.4,185,3946,31,,418.737
genetic,mulsol.i.5,186,3973,31,,409.690
genetic,myciel3,11,20,4,,10.675
genetic,myciel4,23,71,5,,18.604
genetic,myciel5,47,236,6,,42.045
genetic,myciel6,95,755,7,,103.851
genetic,myciel7,191,2360,8,,293.022
genetic,queen10_10,100,1470,13,,166.956
genetic,queen11_11,121,1980,14,,217.794
genetic,queen12_12,144,2596,16,,269.977
genetic,queen13_13,169,3328,16,,679.060
genetic,queen14_14,196,4186,17,,650.488
genetic,queen15_15,225,5180,20,,555.729
genetic,queen16_16,256,6320,22,,598.141
genetic,queen5_5,25,160,5,,37.777
genetic,queen6_6,36,290,7,,48.985
genetic,queen7_7,49,476,9,,64.527
genetic,queen8_12,96,1368,13,,158.111
genetic,queen8_8,64,728,10,,92.203
genetic,queen9_9,81,1056,11,,139.066
genetic,school1,385,19095,17,,3067.592
genetic,school1_nsh,352,14612,23,,2441.809
genetic,zeroin.i.1,211,4100,49,,406.116
genetic,zeroin.i.2,211,3541,30,,406.027
genetic,zeroin.i.3,206,3540,30,,409.160
