./build/benchmark_runner --algorithm dsatur --input data/dimacs/myciel6.col --save-snapshots
family,algorithm,graphs,avg_vertices,avg_edges,avg_colors,avg_optimal,avg_ratio,max_ratio,avg_runtime_s,best_algo,best_avg_ratio
DSJC,dsatur,12,468.75,82899.5,75.0,57.25,1.28826,1.37349,0.01604,dsatur,1.28826
DSJC,genetic,9,347.22222,20342.44444,36.66667,28.22222,1.32403,1.5,5.60001,dsatur,1.28826
DSJC,simulated_annealing,12,468.75,82899.5,90.66667,57.25,1.58496,1.9,0.18014,dsatur,1.28826
DSJC,welsh_powell,12,468.75,82899.5,78.66667,57.25,1.398,1.5,0.00203,dsatur,1.28826
DSJR,dsatur,3,500.0,61230.66667,78.0,73.0,1.09464,1.16667,0.01044,genetic,1.02459
DSJR,genetic,2,500.0,31208.5,70.0,67.0,1.02459,1.04918,6.32226,genetic,1.02459
DSJR,simulated_annealing,3,500.0,61230.66667,118.0,73.0,1.56285,2.42353,0.06306,genetic,1.02459
DSJR,welsh_powell,3,500.0,61230.66667,81.66667,73.0,1.11273,1.16471,0.00093,genetic,1.02459
anna,dsatur,1,138.0,493.0,11.0,11.0,1.0,1.0,0.00012,dsatur,1.0
anna,genetic,1,138.0,493.0,11.0,11.0,1.0,1.0,0.08886,dsatur,1.0
anna,simulated_annealing,1,138.0,493.0,11.0,11.0,1.0,1.0,0.00048,dsatur,1.0
anna,welsh_powell,1,138.0,493.0,11.0,11.0,1.0,1.0,1e-05,dsatur,1.0
david,dsatur,1,87.0,406.0,11.0,11.0,1.0,1.0,9e-05,dsatur,1.0
david,genetic,1,87.0,406.0,11.0,11.0,1.0,1.0,0.06879,dsatur,1.0
david,simulated_annealing,1,87.0,406.0,11.0,11.0,1.0,1.0,0.00041,dsatur,1.0
david,welsh_powell,1,87.0,406.0,11.0,11.0,1.0,1.0,1e-05,dsatur,1.0
flat,dsatur,6,650.0,133706.83333,77.5,43.33333,1.80325,2.26,0.02809,genetic,1.77509
flat,genetic,3,300.0,21567.66667,43.0,24.66667,1.77509,2.1,4.16326,genetic,1.77509
flat,simulated_annealing,6,650.0,133706.83333,96.66667,43.33333,2.26245,2.74,0.2831,genetic,1.77509
flat,welsh_powell,6,650.0,133706.83333,84.0,43.33333,1.95286,2.42,0.00204,genetic,1.77509
fpsol,dsatur,3,457.33333,9677.66667,41.66667,41.66667,1.0,1.0,0.00166,dsatur,1.0
fpsol,genetic,3,457.33333,9677.66667,41.66667,41.66667,1.0,1.0,1.32767,dsatur,1.0
fpsol,simulated_annealing,3,457.33333,9677.66667,42.33333,41.66667,1.01624,1.03333,0.01021,dsatur,1.0
fpsol,welsh_powell,3,457.33333,9677.66667,41.66667,41.66667,1.0,1.0,0.00014,dsatur,1.0
games,dsatur,1,120.0,638.0,9.0,9.0,1.0,1.0,0.00013,dsatur,1.0
games,genetic,1,120.0,638.0,9.0,9.0,1.0,1.0,0.07935,dsatur,1.0
games,simulated_annealing,1,120.0,638.0,9.0,9.0,1.0,1.0,0.00037,dsatur,1.0
games,welsh_powell,1,120.0,638.0,9.0,9.0,1.0,1.0,1e-05,dsatur,1.0
homer,dsatur,1,561.0,1628.0,13.0,13.0,1.0,1.0,0.00041,dsatur,1.0
homer,genetic,1,561.0,1628.0,13.0,13.0,1.0,1.0,0.36936,dsatur,1.0
homer,simulated_annealing,1,561.0,1628.0,13.0,13.0,1.0,1.0,0.00317,dsatur,1.0
homer,welsh_powell,1,561.0,1628.0,13.0,13.0,1.0,1.0,3e-05,dsatur,1.0
huck,dsatur,1,74.0,301.0,11.0,11.0,1.0,1.0,7e-05,dsatur,1.0
huck,genetic,1,74.0,301.0,11.0,11.0,1.0,1.0,0.04709,dsatur,1.0
huck,simulated_annealing,1,74.0,301.0,11.0,11.0,1.0,1.0,0.00029,dsatur,1.0
huck,welsh_powell,1,74.0,301.0,11.0,11.0,1.0,1.0,1e-05,dsatur,1.0
