algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms
genetic,flat1000_50_0,1000,245000,521,,7694.670
genetic,fpsol2.i.1,496,11654,253,,418.415
genetic,flat1000_50_0,1000,245000,521,,7709.539
genetic,flat1000_50_0,1000,245000,124,,130926.753
dsatur,myciel6,95,755,7,,0.135
dsatur,cycle10,10,10,2,,0.014
genetic,cycle10,10,10,2,,12.678
genetic,k-12,12,66,12,,29.441
genetic,k-12plus,24,78,12,,35.450
dsatur,k-12,12,66,12,,0.026
dsatur,k-12plus,24,78,12,,0.041
dsatur,flat1000_50_0,1000,245000,113,,97.919
dsatur,bipartite_77_5,77,363,2,,0.231
dsatur,myciel4,23,71,5,,0.044
dsatur,queen16_16,256,6320,21,,2.253
dsatur,queen12_12,144,2596,16,,1.075
dsatur,queen9_9,81,1056,12,,0.374
genetic,queen9_9,81,1056,12,,260.770
genetic,queen16_16,256,6320,22,,1920.715
dsatur,miles500,128,1170,20,,0.516
exact_solver,miles500,128,1170,20,,0.660
exact_solver,miles500,128,1170,20,,0.701
exact_solver,david,87,406,11,,0.141
welsh_powell,myciel6,95,755,8,,0.020
welsh_powell,myciel3,11,20,4,,0.003
welsh_powell,myciel4,23,71,5,,0.008
welsh_powell,myciel5,47,236,7,,0.009
genetic,miles750,128,2113,31,,525.575
dsatur,miles750,128,2113,31,,1.084
welsh_powell,miles750,128,2113,32,,0.084
welsh_powell,fpsol2.i.1,496,11654,65,,0.700
welsh_powell,fpsol2.i.2,451,8691,30,,0.327
welsh_powell,DSJC1000.1,1000,49629,30,,1.017
welsh_powell,DSJC500.9,500,112437,168,,3.521
welsh_powell,flat1000_50_0,1000,245000,121,,4.676
welsh_powell,flat1000_50_0,1000,245000,121,,4.667
welsh_powell,flat300_28_0,300,21695,46,,0.381
simulated_annealing,anna,138,493,11,,2.102
simulated_annealing,david,87,406,11,,1.505
simulated_annealing,flat300_20_0,300,21375,59,,83.550
simulated_annealing,queen16_16,256,6320,24,,17.247
simulated_annealing,flat1000_50_0,1000,245000,144,,1374.713
simulated_annealing,k-12,12,66,12,,0.203
simulated_annealing,myciel6,95,755,7,,1.987
exact_solver,jean,80,254,10,,799.284
simulated_annealing,queen9_9,81,1056,13,,0.710
simulated_annealing,queen9_9,81,1056,13,10,0.653
dsatur,myciel6,95,755,7,7,9.926
dsatur,queen5_5,25,160,5,5,0.114
dsatur,flat1000_50_0,1000,245000,113,50,68.056
dsatur,flat300_20_0,300,21375,42,20,5.849
welsh_powell,queen6_6,36,290,9,7,0.256
dsatur,myciel6,95,755,7,7,1.030
simulated_annealing,myciel6,95,755,7,7,30.718
simulated_annealing,myciel3,11,20,4,4,0.754
exact_solver,myciel3,11,20,4,4,8.864
genetic,myciel3,11,20,4,4,13.903
dsatur,myciel3,11,20,4,4,0.160
genetic,myciel5,47,236,6,6,207.640
exact_solver,myciel5,47,236,6,6,555.908
welsh_powell,myciel6,95,755,7,7,0.645
genetic,myciel6,95,755,7,7,177.466
dsatur,jean,80,254,10,10,0.615
welsh_powell,jean,80,254,10,10,0.445
genetic,jean,80,254,10,10,105.025
simulated_annealing,jean,80,254,10,10,22.242
exact_solver,jean,80,254,10,10,1119.947
dsatur,k-12,12,66,12,,0.161
welsh_powell,k-12,12,66,12,,0.104
genetic,k-12,12,66,12,,27.455
simulated_annealing,k-12,12,66,12,,0.392
exact_solver,k-12,12,66,12,,0.321
dsatur,tree_238_1,238,237,2,,3.415
welsh_powell,tree_238_1,238,237,3,,3.646
genetic,tree_238_1,238,237,3,,199.360
simulated_annealing,tree_238_1,238,237,3,,33.352
exact_solver,tree_238_1,238,237,2,,0.482
welsh_powell,myciel3,11,20,4,4,0.164
dsatur,le450_5a,450,5714,10,5,15.794
welsh_powell,le450_5a,450,5714,12,5,12.758
genetic,le450_5a,450,5714,11,5,1016.972
simulated_annealing,le450_5a,450,5714,12,5,214.935
dsatur,tree_505_2,505,504,2,,15.056
welsh_powell,tree_505_2,505,504,3,,17.944
genetic,tree_505_2,505,504,3,,483.955
simulated_annealing,tree_505_2,505,504,3,,128.913
exact_solver,tree_505_2,505,504,2,,0.751
dsatur,tree_275_4,275,274,2,,4.320
welsh_powell,tree_275_4,275,274,3,,4.471
genetic,tree_275_4,275,274,3,,260.697
simulated_annealing,tree_275_4,275,274,3,,35.123
exact_solver,tree_275_4,275,274,2,,0.650
dsatur,grid_360_1,360,682,2,,9.615
welsh_powell,grid_360_1,360,682,5,,8.038
genetic,grid_360_1,360,682,4,,354.405
simulated_annealing,grid_360_1,360,682,4,,100.709
exact_solver,grid_360_1,360,682,2,,0.742
dsatur,k-12plus,24,78,12,,0.179
welsh_powell,k-12plus,24,78,12,,0.105
genetic,k-12plus,24,78,12,,42.369
simulated_annealing,k-12plus,24,78,12,,1.203
exact_solver,k-12plus,24,78,12,,0.252
dsatur,queen12_12,144,2596,16,12,3.056
tabu_search,myciel6,95,755,7,,13.228
