algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms,status
welsh_powell,DSJC1000.1,1000,49629,30,20,0.372,ok
dsatur,DSJC1000.1,1000,49629,25,20,9.127,ok
simulated_annealing,DSJC1000.1,1000,49629,36,20,34.940,ok
genetic,DSJC1000.1,1000,49629,29,20,13657.652,ok
welsh_powell,DSJC1000.5,1000,249826,124,83,3.517,ok
dsatur,DSJC1000.5,1000,249826,114,83,41.816,ok
simulated_annealing,DSJC1000.5,1000,249826,139,83,589.170,ok
genetic,DSJC1000.5,1000,249826,126,83,86453.684,ok
welsh_powell,DSJC1000.9,1000,449449,310,224,15.620,ok
dsatur,DSJC1000.9,1000,449449,301,224,97.308,ok
simulated_annealing,DSJC1000.9,1000,449449,346,224,1256.208,ok
genetic,DSJC1000.9,1000,898898,,224,,timeout(first-pass)
welsh_powell,DSJC125.1,125,736,7,5,0.011,ok
dsatur,DSJC125.1,125,736,6,5,0.179,ok
simulated_annealing,DSJC125.1,125,736,7,5,0.600,ok
genetic,DSJC125.1,125,736,6,5,101.832,ok
welsh_powell,DSJC125.5,125,3891,23,17,0.033,ok
dsatur,DSJC125.5,125,3891,23,17,0.635,ok
simulated_annealing,DSJC125.5,125,3891,26,17,1.801,ok
genetic,DSJC125.5,125,3891,21,17,530.827,ok
welsh_powell,DSJC125.9,125,6961,52,44,0.126,ok
dsatur,DSJC125.9,125,6961,50,44,1.154,ok
simulated_annealing,DSJC125.9,125,6961,60,44,2.986,ok
genetic,DSJC125.9,125,6961,48,44,991.112,ok
welsh_powell,DSJC250.1,250,3218,12,8,0.032,ok
dsatur,DSJC250.1,250,3218,10,8,0.577,ok
simulated_annealing,DSJC250.1,250,3218,12,8,2.802,ok
genetic,DSJC250.1,250,3218,10,8,604.763,ok
welsh_powell,DSJC250.5,250,15668,40,28,0.133,ok
dsatur,DSJC250.5,250,15668,37,28,2.529,ok
simulated_annealing,DSJC250.5,250,15668,45,28,8.473,ok
genetic,DSJC250.5,250,15668,38,28,2778.142,ok
welsh_powell,DSJC250.9,250,27897,91,72,0.408,ok
dsatur,DSJC250.9,250,27897,90,72,4.298,ok
simulated_annealing,DSJC250.9,250,27897,110,72,11.140,ok
genetic,DSJC250.9,250,27897,89,72,5715.358,ok
welsh_powell,DSJC500.1,500,12458,18,12,0.089,ok
dsatur,DSJC500.1,500,12458,16,12,2.080,ok
simulated_annealing,DSJC500.1,500,12458,22,12,6.301,ok
genetic,DSJC500.1,500,12458,17,12,1884.701,ok
welsh_powell,DSJC500.5,500,62624,69,48,0.605,ok
dsatur,DSJC500.5,500,62624,65,48,9.911,ok
simulated_annealing,DSJC500.5,500,62624,79,48,70.478,ok
genetic,DSJC500.5,500,62624,69,48,24130.950,ok
welsh_powell,DSJC500.9,500,112437,168,126,2.193,ok
dsatur,DSJC500.9,500,112437,163,126,18.475,ok
simulated_annealing,DSJC500.9,500,112437,198,126,145.690,ok
genetic,DSJC500.9,500,112437,168,126,58075.502,ok
welsh_powell,DSJR500.1,500,3555,13,12,0.061,ok
dsatur,DSJR500.1,500,3555,14,12,0.650,ok
simulated_annealing,DSJR500.1,500,3555,13,12,2.720,ok
genetic,DSJR500.1,500,3555,12,12,459.539,ok
welsh_powell,DSJR500.1c,500,121275,99,85,1.286,ok
dsatur,DSJR500.1c,500,121275,88,85,17.115,ok
simulated_annealing,DSJR500.1c,500,121275,207,85,116.199,ok
