algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms,status
dsatur,DSJC1000.1,1000,49629,25,,9.308,ok
dsatur,DSJC1000.5,1000,249826,114,,47.105,ok
dsatur,DSJC1000.9,1000,449449,301,,100.221,ok
dsatur,DSJC125.1,125,736,6,,0.154,ok
dsatur,DSJC125.5,125,3891,23,,0.630,ok
dsatur,DSJC125.9,125,6961,50,,1.116,ok
dsatur,DSJC250.1,250,3218,10,,0.667,ok
dsatur,DSJC250.5,250,15668,37,,2.727,ok
dsatur,DSJC250.9,250,27897,90,,4.791,ok
dsatur,DSJC500.1,500,12458,16,,2.247,ok
dsatur,DSJC500.5,500,62624,65,,11.796,ok
dsatur,DSJC500.9,500,112437,163,,21.202,ok
dsatur,DSJR500.1,500,3555,14,,0.731,ok
dsatur,DSJR500.1c,500,121275,88,,19.980,ok
dsatur,DSJR500.5,500,58862,132,,11.449,ok
dsatur,anna,138,493,11,,0.247,ok
dsatur,david,87,406,11,,0.091,ok
dsatur,flat1000_50_0,1000,245000,113,,48.897,ok
dsatur,flat1000_60_0,1000,245830,112,,52.862,ok
dsatur,flat1000_76_0,1000,246708,115,,55.107,ok
dsatur,flat300_20_0,300,21375,42,,3.554,ok
dsatur,flat300_26_0,300,21633,42,,3.665,ok
dsatur,flat300_28_0,300,21695,41,,4.077,ok
dsatur,fpsol2.i.1,496,11654,65,,2.016,ok
dsatur,fpsol2.i.2,451,8691,30,,1.487,ok
dsatur,fpsol2.i.3,425,8688,30,,1.504,ok
dsatur,games120,120,638,9,,0.334,ok
dsatur,homer,561,1628,13,,0.421,ok
dsatur,huck,74,301,11,,0.091,ok
dsatur,inithx.i.1,864,18707,54,,3.712,ok
dsatur,inithx.i.2,645,13979,31,,2.522,ok
dsatur,inithx.i.3,621,13969,31,,2.471,ok
dsatur,jean,80,254,10,,0.069,ok
dsatur,latin_square_10,900,307350,129,,45.194,ok
dsatur,le450_15a,450,8168,17,,1.579,ok
dsatur,le450_15b,450,8169,17,,1.573,ok
dsatur,le450_15c,450,16680,24,,2.984,ok
dsatur,le450_15d,450,16750,24,,2.996,ok
dsatur,le450_25a,450,8260,25,,2.130,ok
dsatur,le450_25b,450,8263,25,,1.626,ok
dsatur,le450_25c,450,17343,28,,3.126,ok
dsatur,le450_25d,450,17425,29,,3.045,ok
dsatur,le450_5a,450,5714,10,,1.098,ok
dsatur,le450_5b,450,5734,7,,1.072,ok
dsatur,le450_5c,450,9803,11,,1.706,ok
dsatur,le450_5d,450,9757,11,,1.896,ok
dsatur,miles1000,128,3216,42,,0.587,ok
dsatur,miles1500,128,5198,73,,0.921,ok
dsatur,miles250,128,387,8,,0.097,ok
