algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms,status
dsatur,barabasi_albert_111_3,111,530,6,,0.258,ok
dsatur,barabasi_albert_1193_7,1193,5940,6,,3.282,ok
dsatur,barabasi_albert_1262_5,1262,6285,6,,3.827,ok
dsatur,barabasi_albert_1284_4,1284,6395,6,,3.308,ok
dsatur,barabasi_albert_1776_10,1776,8855,6,,4.665,ok
dsatur,barabasi_albert_324_9,324,1595,6,,0.861,ok
dsatur,barabasi_albert_382_2,382,1885,5,,0.954,ok
dsatur,barabasi_albert_769_6,769,3820,6,,2.011,ok
dsatur,barabasi_albert_783_8,783,3890,6,,2.188,ok
dsatur,barabasi_albert_933_1,933,4640,6,,2.833,ok
dsatur,bipartite_278_2,278,2295,2,,0.858,ok
dsatur,bipartite_704_1,704,30226,2,,9.587,ok
dsatur,bipartite_77_5,77,363,2,,0.160,ok
dsatur,bipartite_80_4,80,222,2,,0.139,ok
dsatur,bipartite_963_3,963,50450,2,,16.752,ok
dsatur,complete_10_1,10,45,10,,0.028,ok
dsatur,complete_28_3,28,378,28,,0.112,ok
dsatur,complete_33_2,33,528,33,,0.146,ok
dsatur,complete_35_4,35,595,35,,0.139,ok
dsatur,complete_47_5,47,1081,47,,0.289,ok
dsatur,erdos_renyi_1283_9,1283,76751,29,,33.949,ok
dsatur,erdos_renyi_1356_5,1356,110455,38,,51.799,ok
dsatur,erdos_renyi_1754_2,1754,286515,68,,176.140,ok
dsatur,erdos_renyi_1800_10,1800,110682,30,,67.640,ok
dsatur,erdos_renyi_1808_3,1808,170826,43,,65.189,ok
dsatur,erdos_renyi_437_8,437,8504,13,,1.515,ok
dsatur,erdos_renyi_632_6,632,25733,22,,5.057,ok
dsatur,erdos_renyi_701_7,701,34130,26,,6.155,ok
dsatur,erdos_renyi_743_4,743,52439,36,,9.897,ok
dsatur,erdos_renyi_747_1,747,53227,36,,10.653,ok
dsatur,grid_1225_5,1225,2380,2,,0.518,ok
dsatur,grid_2070_3,2070,4049,2,,0.880,ok
dsatur,grid_360_1,360,682,2,,0.151,ok
dsatur,grid_676_2,676,1300,2,,0.285,ok
dsatur,grid_841_4,841,1624,2,,0.339,ok
dsatur,planar_161_5,161,295,4,,0.087,ok
dsatur,planar_261_2,261,430,4,,0.132,ok
dsatur,planar_309_4,309,492,4,,0.148,ok
dsatur,planar_329_1,329,515,4,,0.158,ok
dsatur,planar_420_3,420,652,4,,0.239,ok
dsatur,tree_238_1,238,237,2,,0.094,ok
dsatur,tree_275_4,275,274,2,,0.200,ok
dsatur,tree_505_2,505,504,2,,0.190,ok
dsatur,tree_862_3,862,861,2,,0.346,ok
dsatur,tree_958_5,958,957,2,,0.397,ok
dsatur,watts_strogatz_155_1,155,1085,7,,0.221,ok
dsatur,watts_strogatz_229_2,229,2519,11,,0.439,ok
dsatur,watts_strogatz_363_7,363,6534,16,,1.047,ok
dsatur,watts_strogatz_427_5,427,8967,17,,1.537,ok
dsatur,watts_strogatz_527_3,527,13702,21,,2.390,ok
dsatur,watts_strogatz_551_6,551,14877,23,,2.504,ok
dsatur,watts_strogatz_689_9,689,23426,30,,3.793,ok
dsatur,watts_strogatz_711_4,711,24885,24,,5.179,ok
dsatur,watts_strogatz_987_8,987,48363,41,,10.499,ok
dsatur,watts_strogatz_989_10,989,48461,33,,8.671,ok
welsh_powell,barabasi_albert_111_3,111,530,6,,0.007,ok
welsh_powell,barabasi_albert_1193_7,1193,5940,7,,0.080,ok
welsh_powell,barabasi_albert_1262_5,1262,6285,7,,0.084,ok
welsh_powell,barabasi_albert_1284_4,1284,6395,7,,0.089,ok
welsh_powell,barabasi_albert_1776_10,1776,8855,7,,0.128,ok
welsh_powell,barabasi_albert_324_9,324,1595,6,,0.021,ok
welsh_powell,barabasi_albert_382_2,382,1885,7,,0.025,ok
welsh_powell,barabasi_albert_769_6,769,3820,7,,0.050,ok
welsh_powell,barabasi_albert_783_8,783,3890,7,,0.051,ok
welsh_powell,barabasi_albert_933_1,933,4640,7,,0.061,ok
welsh_powell,bipartite_278_2,278,2295,2,,0.014,ok
welsh_powell,bipartite_704_1,704,30226,2,,0.052,ok
welsh_powell,bipartite_77_5,77,363,4,,0.005,ok
welsh_powell,bipartite_80_4,80,222,2,,0.003,ok
welsh_powell,bipartite_963_3,963,50450,2,,0.122,ok
welsh_powell,complete_10_1,10,45,10,,0.001,ok
welsh_powell,complete_28_3,28,378,28,,0.008,ok
