algorithm,graph_name,vertices,edges,colors_used,known_optimal,runtime_ms
simulated_annealing,DSJC125.1.col_Default,125,736,7,,2.918
simulated_annealing,DSJC125.1.col_Heavy,125,736,6,,51.977
simulated_annealing,DSJC125.1.col_Precision,125,736,6,,38.927
simulated_annealing,DSJC125.1.col_Speed,125,736,7,,2.563
simulated_annealing,DSJC250.5.col_Default,250,15668,48,,43.039
simulated_annealing,DSJC250.5.col_Heavy,250,15668,35,,1134.120
simulated_annealing,DSJC250.5.col_Precision,250,15668,33,,976.633
simulated_annealing,DSJC250.5.col_Speed,250,15668,52,,39.555
simulated_annealing,DSJR500.1c.col_Default,500,121275,208,,509.679
simulated_annealing,DSJR500.1c.col_Heavy,500,121275,117,,33128.629
simulated_annealing,DSJR500.1c.col_Precision,500,121275,97,,25653.081
simulated_annealing,DSJR500.1c.col_Speed,500,121275,197,,542.254
simulated_annealing,flat300_28_0.col_Default,300,21695,52,,55.419
simulated_annealing,flat300_28_0.col_Heavy,300,21695,38,,1667.267
simulated_annealing,flat300_28_0.col_Precision,300,21695,37,,1138.745
simulated_annealing,flat300_28_0.col_Speed,300,21695,55,,56.034
simulated_annealing,le450_15c.col_Default,450,16680,29,,53.815
simulated_annealing,le450_15c.col_Heavy,450,16680,25,,542.494
simulated_annealing,le450_15c.col_Precision,450,16680,24,,677.302
simulated_annealing,le450_15c.col_Speed,450,16680,30,,52.320
simulated_annealing,latin_square_10.col_Default,900,307350,190,,971.900
simulated_annealing,latin_square_10.col_Heavy,900,307350,158,,38633.333
simulated_annealing,latin_square_10.col_Precision,900,307350,128,,56196.343
simulated_annealing,latin_square_10.col_Speed,900,307350,187,,978.478
simulated_annealing,myciel3.col_Default,11,20,4,,0.225
simulated_annealing,myciel3.col_Heavy,11,20,4,,2.202
simulated_annealing,myciel3.col_Precision,11,20,4,,1.791
simulated_annealing,myciel3.col_Speed,11,20,4,,0.192
simulated_annealing,anna.col_Default,138,493,11,,1.724
simulated_annealing,anna.col_Heavy,138,493,11,,29.648
simulated_annealing,anna.col_Precision,138,493,11,,38.551
simulated_annealing,anna.col_Speed,138,493,11,,2.451
simulated_annealing,david.col_Default,87,406,12,,1.843
simulated_annealing,david.col_Heavy,87,406,11,,17.885
simulated_annealing,david.col_Precision,87,406,11,,24.821
simulated_annealing,david.col_Speed,87,406,11,,1.328
